FirstCategory,SecondCategory,ThirdCategory,FengCategoryIdFeng,FirstCategoryFeng,SecondCategoryFeng
詞義,天文,日,1.1,天文,日、月、星
詞義,天文,月,1.1,天文,日、月、星
詞義,天文,星,1.1,天文,日、月、星
詞義,天文,風,1.2,天文,風、雲、雷、雨
詞義,天文,雲,1.2,天文,風、雲、雷、雨
詞義,天文,雷,1.2,天文,風、雲、雷、雨
詞義,天文,雨,1.2,天文,風、雲、雷、雨
詞義,天文,冰,1.3,天文,冰、雪、霜、露
詞義,天文,雪,1.3,天文,冰、雪、霜、露
詞義,天文,霜,1.3,天文,冰、雪、霜、露
詞義,天文,露,1.3,天文,冰、雪、霜、露
詞義,天文,氣候,no change,,
詞義,地理,地,no change,,
詞義,地理,山,no change,,
詞義,地理,江,2.3,地理,江、河、湖、海、水
詞義,地理,河,2.3,地理,江、河、湖、海、水
詞義,地理,湖,2.3,地理,江、河、湖、海、水
詞義,地理,海,2.3,地理,江、河、湖、海、水
詞義,地理,水,2.3,地理,江、河、湖、海、水
詞義,地理,石,2.4,地理,石沙、土塊、礦物
詞義,地理,沙,2.4,地理,石沙、土塊、礦物
詞義,地理,土塊,2.4,地理,石沙、土塊、礦物
詞義,地理,礦物,2.4,地理,石沙、土塊、礦物
詞義,地理,城鄉處所,no change,,
詞義,時令時間,季節,3.1,時令、時間,季節
詞義,時令時間,節日,3.2,時令、時間,節日
詞義,時令時間,年,3.3,時令、時間,年
詞義,時令時間,月,3.4,時令、時間,月
詞義,時令時間,日,3.5,時令、時間,日、時
詞義,時令時間,時,3.5,時令、時間,日、時
詞義,時令時間,其他時間概念,3.6,時令、時間,其他時間概念
詞義,農業,農事,no change,,
詞義,農業,農具,no change,,
詞義,植物,農作物,no change,,
詞義,植物,豆類,5.2,植物,豆類、菜蔬
詞義,植物,菜蔬,5.2,植物,豆類、菜蔬
詞義,植物,樹木,no change,,
詞義,植物,瓜果,no change,,
詞義,植物,花草,5.5,植物,花草菌類
詞義,植物,菌類,5.5,植物,花草菌類
詞義,動物,牲畜,no change,,
詞義,動物,鳥獸,no change,,
詞義,動物,蟲類,no change,,
詞義,動物,魚蝦類,no change,,
詞義,房舍,房子,no change,,
詞義,房舍,房屋結構,no change,,
詞義,房舍,其他設施,no change,,
詞義,器具用品,一般傢俱,no change,,
詞義,器具用品,臥室用具,no change,,
詞義,器具用品,炊事用具,no change,,
詞義,器具用品,工匠用具,no change,,
詞義,器具用品,其他生活用品,no change,,
詞義,稱謂,一般稱謂,no change,,
詞義,稱謂,職業稱謂,no change,,
詞義,親屬,長輩,no change,,
詞義,親屬,平輩,no change,,
詞義,親屬,晚輩,no change,,
詞義,親屬,其他,no change,,
詞義,身體,五官,no change,,
詞義,身體,手,11.2,身體,手、腳、胸、背等
詞義,身體,腳,11.2,身體,手、腳、胸、背等
詞義,身體,胸,11.2,身體,手、腳、胸、背等
詞義,身體,背,11.2,身體,手、腳、胸、背等
詞義,身體,其他,no change,,
詞義,疾病醫療,一般醫療用語,12.1,疾病、醫療,一般用語
詞義,疾病醫療,內科,12.2,疾病、醫療,內科
詞義,疾病醫療,外科,12.3,疾病、醫療,外科
詞義,疾病醫療,殘疾等,12.4,疾病、醫療,殘疾等
詞義,衣服穿戴,服裝,no change,,
詞義,衣服穿戴,鞋帽,no change,,
詞義,衣服穿戴,裝飾品,no change,,
詞義,衣服穿戴,其他穿戴用品,no change,,
詞義,飲食,伙食,no change,,
詞義,飲食,米食,no change,,
詞義,飲食,麵食,no change,,
詞義,飲食,肉蛋,14.4,飲食,肉、蛋
詞義,飲食,菜,no change,,
詞義,飲食,油鹽作料,no change,,
詞義,飲食,煙,14.7,飲食,煙、茶、酒
詞義,飲食,茶,14.7,飲食,煙、茶、酒
詞義,飲食,酒,14.7,飲食,煙、茶、酒
詞義,紅白大事,婚姻,15.1,紅白大事,婚姻生育
詞義,紅白大事,生育,15.1,紅白大事,婚姻生育
詞義,紅白大事,壽辰,15.2,紅白大事,壽辰喪葬
詞義,紅白大事,喪葬,15.2,紅白大事,壽辰喪葬
詞義,紅白大事,宗教等,no change,,
詞義,日常生活,衣,no change,,
詞義,日常生活,食,no change,,
詞義,日常生活,住,no change,,
詞義,日常生活,行,no change,,
詞義,日常生活,其他日常生活,16.5,日常生活,其他
詞義,訟事,\N,no change,,
詞義,交際,\N,18,交際,\N
詞義,交際,姓氏,18,交際,\N
詞義,商業,經商行業,19.1,商業、交通,經商行業
詞義,商業,經營交易,19.2,商業、交通,經營、交易
詞義,商業,賬目度量衡,19.3,商業、交通,賬目、度量衡
詞義,交通,\N,19.4,商業、交通,交通
詞義,文化教育,學校,no change,,
詞義,文化教育,教室文具,20.2,文化教育,教室、文具
詞義,文化教育,讀書識字,no change,,
詞義,文化教育,寫字,no change,,
詞義,文體活動,遊戲玩具,21.1,文體活動,遊戲、玩具
詞義,文體活動,體育,no change,,
詞義,文體活動,武術舞蹈,no change,,
詞義,文體活動,戲劇,no change,,
詞義,政治,\N,,\N,\N
詞義,位置,\N,23,位置,\N
詞性,動作,一般動作,22.1,動作,一般動作
詞性,動作,心理活動,22.2,動作,心理活動
詞性,動作,語言動作,22.3,動作,語言動作
詞性,代詞等,\N,24,代詞等,\N
詞性,形容詞,\N,25,形容詞,\N
詞性,副詞,\N,26,副詞、介詞等,\N
詞性,介詞等,\N,26,副詞、介詞等,\N
詞性,量詞,\N,27,量詞,\N
詞性,附加成分,\N,28,附加成分,\N
詞性,數字,數目,29,數字等,\N
詞性,數字,約數,29,數字等,\N
詞性,數字,號碼,29,數字等,\N
詞性,數字,數量,29,數字等,\N
詞性,數字,數字俗語,29,數字等,\N
詞性,歇後語,\N,,\N,\N
情感,褒義,\N,,\N,\N
情感,貶義,\N,,\N,\N
情感,戲謔,\N,,\N,\N
其他,\N,\N,30,其他,\N
