Han Character,Mandarin Trans.
"疫情 防控 期間, 都 着 有 綠色 其 八閩健康碼 乍 有 的 坐 地鐵, 去 看 病 或且 上班.",
"辦 八閩健康碼 着 裝 閩政通 應用, 故 着 拍相[pah53-suong213] 確認 囇 是 伓是 本儂 來 做.",
"者 時候 着 按 手機 其 指示 做 動作, 故 有 時間 限制.",
"㑚 是 做 慢 了 或且 無 夠, 都 着 重新 開始.",
"厝 𡅏 長輩 都 有 智能手機, 但是 都 儥 盡 仈 使, 也 儥 習慣 按 手機 指示 做 動作.",
"到底 着 做 世乇 樣式 乍 算數, 對 伊各儂 來 講 都是 問題.",
"㑚是 伊各儂 自家 做, 都 儥 容易 成功, 確認 時間 就 去 野 価.",
"依媽 對手 阿嬷 確認, 吼 伊 按 指示 向 左邊 扒喇 頭, 可是 阿嬷 會 扒喇 遘 右邊 去, 就 着 重新 開始.",
,
"這樣款 前後 做 幾 回, 都 因爲 超時 會 變 無 成功 去.",
"阿嬷 講: 哀啊, 做 嚽 會 這滿 麻煩! 在 伊, 伓 做 了.",
"這滿 重要 其 乇, 蔣 可能 伓 做 {啊,吓}!",
"我 看見, 此刻 衝 上 去.",
我 看 手機 指示 講：,
,"慢慢 向 左 轉 頭, 點 頭, 張 嘴."
就 乞 阿嬷 講: 頭 慢慢 向 左邊 轉 過 去! 頭 涿 囇! 着 快! 喙 擘 開 囇! 着 明顯!,
並且 手 嘟嚕 着 阿嬷 其 頭 來 指導.,
"未 兩 下, 手機 報: 很 好!",
野 好! 汝 蜀 來 就 做 清楚 了! 阿嬷 野 高興.,
,
"過 幾 日, 厝 𡅏 嬷嬷 也 卜 辦 八閩健康碼.",
手機 指示 講:,
,"頭 向 左 傾, 擡 頭, 眨 眼."
我 指導 嬷嬷: 頭 向 左 欹 過 去. 頭 嶽 懸 去! 目睭 䀫 囇!,
"伊 都 照 做, 盡 快 也 做 清楚 了.",
嬷嬷 笑 問: 傒勢 着 做 這樣款 動作 呢?,
我 就 將 做 動作 其 道理 共 伊 講.,
"嬷嬷 號 這 幾 萆 動作: 搖 頭 扒喇 耳,",
像 舊底 雜技 共 演戲 時候 做 其 樣式.,
,
厝 𡅏 長輩 野 認真 練習 現 出 八閩健康碼 其 方法.,
"使 手 先 涿 世乇, 再 涿 世乇, 着 現 出 世乇 乍 會使, 都 記 着 心 𡅏, 練 幾 回 都 做 好 俊 囉.",
,
"使 八閩健康碼 坐 地鐵 或且 上班 對 防 疫 是 好 事, 使 手機 辦 也 盡去 方便 安全.",
"但是 我 想, 對 長輩 或且 儥 盡 仈 使 手機 其 儂, 者 超時 時間 會 儥 設計 長 仂囝, 讓 伊各儂 有 閑 了 介 反應 囇 呢?",
