Han Character,Mandarin Trans.
"排攤做蜀下變野行時去,",擺地攤在一夜之間走紅了!
"樓下路邊夜市, 早市過半年也重新排出囉!","時隔半年, 樓下街邊的夜市, 早市終於重開!"
"衣裳, 鑼盆, 盆栽, 金魚, 客{調,佻}乇,","衣服, 臉盆, 盆栽, 金魚, 玩具,"
"逢式都有,","不一而足,"
"肉, 菜, 瓜, 水果,","肉, 菜, 瓜, 果,"
逢乇都賣.,樣樣都有.
"野価姆姆, 婆婆, 嬷嬷都剋蜀堆,","一眾依姆, 婆婆, 姨奶奶擠成一團,"
蔣曉伊各儂有無罩口罩啊!,
"",人頭攢動.
"","進入全民擺攤時代,"
"底蜀日儂家也試𡅏擺囇,","哪天我也擺擺試試看,"
爲國家經濟做貢獻!,為國家經濟做貢獻!
"但是, 阿嬷講,","可是, 阿嬤說,"
夜市時間也有好.,夜市的時間還不錯.
"早市半暝四五點就開始了, 天故未光啊,","早市在天還沒亮的四五點就開始,"
七八點就收了.,"早上七八點就收攤了,"
"汝平常㑚八九點爬起,","你平常要是八九點才起床,"
肯定儥赴啦!,根本見不著!
"嚽{者,乍}是正正其排攤,","這才是原汁原味的擺攤,"
共許樣款停幾架車做有味其排攤蔣蜀色?,那些停幾排車做樣子的擺攤怎能與這相提並論?
