#/与〃表示同上
#-表示合音
#----------一、天文　地理
日头	nik44 au22	太阳
月	ŋuk2	月亮
天星	t'iŋ44 neiŋ332	星星
踅螺风	suk44 lɔi22 houŋ332	旋风
风𱃗	huŋ44 nai332	台风
雷霆	lai22 teiŋ22	打雷
/霆雷	teiŋ22 lai22	〃
雷泄	lai22 sik5	闪电
涂	t'ou22	泥土
烟雾	iŋ44 mou23	灰尘
做雨	tsɔ55 hu23（或i22）	下雨
寒	kaŋ22	冷
/凊	ts'eiŋ35	〃
暖	nouŋ42	暖和
平洋	paŋ22 jioŋ22	平地
田	ts'eiŋ22	水田
园	huŋ22	旱地
𰉣	tu23	道路
溪	k'ɛ332	小河
溪坪	k'ɛ23 ßaŋ332	河滩
倒流	tɔ55 lau22	逆流
地牛转世	ti55 ŋou22 tuŋ55 ni35	地震
墩	tɔuŋ332	土丘
池	ti22	池塘
水坝	tsi55 puoi35	水渠
#----------二、时间　方位
尾后	muoi55 au23	以后、后边
煞尾	sak55 muoi42	最后
节气	tsɛik44 k'ei35	季节
做年	tsɔ55 niŋ22	春节（过年）
做节	tsɔ55 tsɛik5	端午节（过端午节）
个郎年	kɔ44 lɔuŋ22 niŋ22	整年
蜀字	sik44 tsei23	五分钟
□中	tɛiŋ44 nouŋ332	中间
头边	t'au22 ßeiŋ332	前面
填位	tɛiŋ22 wøi23	地方
旧底	ku44 lɛ42	从前
今早	kiŋ23 na332	今天
昨晡	sak55 mu332	昨天
/昨晡早	sak55 mu44 tsa42	〃
暝晡	maŋ22 mu332	晚上
透暝	t'au55 maŋ22	通宵
半晡	puaŋ55 mu332	傍晚
中昼	touŋ55 nau35	中午
#----------三、房屋　建筑
厝	ts'u35	房子
柱	t'eu23	柱子
间里	kiŋ332 ni42	屋子
/厝里	ts'u35 li42	〃
门限	muŋ22 nɛiŋ23	门槛
磡	k'aŋ42	台阶
晾坪	lɔuŋ55 paŋ22	天台
灶前	tsau55 lɛiŋ22	厨房
桁	aŋ22	檩条
瓦	wo23	瓦片
灰楼	hu23 leu332	厕所
烟筒	iŋ332 nœŋ23	烟囱
弄头	lœŋ44 nau22	过道
#----------四、器具　用器
推刀	t'ɔi44 lɔ332	刨刀
铰刀	ka44 lɔ332	剪刀
桌	tɔk5	桌子
𥮕	ɔuŋ23	晒衣竹
火柴	huoi35 ʒa42	柴火
箸	tøi23	筷子
大斗	to44 lou42	大碗
/缸斗	kɔuŋ23 nou332	〃
酒盅	tsieu55 ʒouŋ332	酒杯
桌柜	tɔk55 øi23	抽屉
横楯	huaŋ22 nouŋ42	案板
家私	ka44 lei332	家具
电涂	tiŋ44 t'ou22	电池
索	sɔk5	绳子
鼎⿱冖敢	tiaŋ35 ŋaŋ42	锅盖
鼎筅	tiaŋ35 ʒeiŋ42	炊帚
鼎匙	tiaŋ35 ni42	锅铲
火炢	huoi55 lok5	火柴
茶䀇	ta22 u42	茶壶
茶盅	ta22 ʒouŋ332	茶杯
洋硋	jioŋ22 ŋai22	搪瓷
罐	kuaŋ35	瓶子
□	nok5	瓶塞
秆	kaŋ42	稻草
纸鹞	tse55 mieu23	风筝
镰𬭴	liŋ22 keik5	镰刀
牙齿硣	ŋa22 i55 au35	牙缸
床头	ts'ɔuŋ22 nau22	枕头
床头巾	ts'ɔuŋ22 nau22 køŋ332	枕巾
笠斗	lik44 tou42	斗笠
信壳	siŋ55 k'œk5	信封
/信封	siŋ55 ŋouŋ332	〃
#----------五、虫鱼　鸟兽
老蛇	lau44 e22	蛇
墙鱼	ts'ioŋ22 ŋøi22	壁虎
绞蚓	ka22 uŋ42	蚯蚓
胡绳	pu22 leiŋ22	苍蝇
木虱	muk44 seik5	臭虫
绞蚤	ka35 ʒou42	跳蚤
翼	siak2	翅膀
王必	wuŋ22 meik5	麻雀
使报信	sɛ44 pɔ55 seiŋ35	鹊鸲
□□	liŋ35 ŋɛ42	老鹰
虱母	seik5 mɔ42	虱子
⿰粜蚤	sak2	蟑螂
粘火飞	niŋ22 muoi55 ei332	萤火虫
蜻家	ts'iŋ44 ŋa332	蜻蜓
隻囝	tsik55 kiaŋ42	鸟儿（通称）
琵婆壁	pi22 ßɔ22 ßeik5	蝙蝠
蠘	ts'ik2	梭子蟹
牛牯	ŋu22 kuk42	公牛
爬爬	pa22 ßa35	八哥
牯猪	ku55 løi332	公猪
猪狮	ti55 lai332	种猪
牛母	ŋu22 mɔ42	母牛
鸡母囝	ki44 mɔ55 kuaŋ44	小母鸡（未下蛋的）
#----------六、花果　作物
箬	nik2	叶子
松毛卵	suŋ44 mɔ22 lɔuŋ23	松球
老⿰木𡯄	lau44 p'au332	柚子
莳栗	si22 lik5	荸荠
⿰禾胄	teu23	稻子
粟	ts'uk5	稻谷
洋芋卵	jioŋ22 u44 lɔuŋ23	马铃薯
红头菜	œŋ22 nau22 ʒai35	菠菜
礼瓜	lɛ55 o332	丝瓜
刺瓜	ts'i55 o332	黄瓜
辣茄	lak44 ki22	辣椒
白豆囝	pak44 lau55 iaŋ42	黄豆
豆	tau23	豆子
茶豆	ta22 lau23	蚕豆
麦前豆	mak44 iŋ22 nau23	豌豆
蕹菜	uŋ55 ʒai35	空心菜
