Han Character,Mandarin Trans.
"昨日 福州 熱 過 四十 度, 趁 我 生 下 起 第 二 回 見 有,","自 打 我 記事 以來, 也 {才,纔} 見 過 兩 次 福州 最高溫 突破 {40℃,四十度}. 第 一 次 在 十 年 前, 第 二 次 就是 昨天!"
歷史 懸頂 也 㑚 第 四 回!,歷史 上 也 才 四 次.
"掏 這樣款 全國 第一 野 儥 受 {啊,吓}!","福州 奪得 高溫 全國 冠軍, 狂超 海南島, 勇勝 吐魯番, 百感交集."
"別塊 做 大水, 儂家 乞 火燒.","別處 防汛, 本地 防暑, 同 在 南方, 水 火 兩重天."
"連 𡅏 幾 禮拜,","連續 數周,"
早起頭 七 八 點 阿蠐 就 告告叫 了.,清晨 蟬鳴.
"下晝 三 四 點 行 出,","午後 出門,"
"地兜 盡 像 𡅏 噴[pung53] 火[hui33],","地面 噴火,"
蜀 身 兩下七 就 卜 着 了.,全身 仿佛 被 點 著.
"暝晡 如果 無 風 就 像 蒸籠,","無 風 夜晚, 悶 似 蒸籠,"
"流汗 無 停 蜀 歇, 無 開 空調 根本 睏 儥 着.",離開 空調 猶如 魚兒 離開 水.
"逐逐日[dyk21-dyk21-nik5] 都[du53] {茲,這}[zi21] 熱[iek5],","日日 高溫 悶熱, 早晚 濕熱 難耐,"
"天氣預報 都 看 儥 下 了, 指名 好 価 回.","福州 至少 被 央視 天氣預報 點名 {6,六} 至 {7,七} 次,"
,"獨具一格,"
,不得不 混剪 痛快 一下!
"者 熱天 着 做 遘 {乜候,乜乇前後}[mieng53-au242] 了 也 儥 仈!",
,"如果 讓 國土 微微 向 東南 傾斜,"
,"分 一點 長江流域 的 雨水 來,"
,"既 退水 又 退熱, 該 多 好!"
