Mindong,Mandarin Trans.
最近 下頭時 天 盡 會 暗 .,近來午後時常烏雲密布.
"看 伊 卜 逿 雨 ,","看見下雨的征兆,"
耳 就 變 野 精 去 .,就得側耳傾聽.
"㑚 觸 有 雷公 𥍉線 ,","要是捕捉到雷電活動,"
再 聽見 對面 座 姆姆 告 : 逿 雨 啦 !,聽見對面樓棟的阿姨吆喝: 下雨了!
"無 管 有 無 上堂 ,","不管是否上課,"
"手 𡅏 有 無 事計 ,","是否忙碌,"
"都 着 趁 後斗所<y=a21-lau24-lu33> 動命 躃 遘 陽臺 外頭<typofix=外斗> ,","都要從屋子後邊瞬移到陽臺上,"
兩下七 將 衣裳 通通 收 裏 來 .,三下五除二把衣服收進屋裏.
"看 雨 此刻 摒 下 , 驚 野 很 .","看著大雨傾盆, 氣喘吁吁."
該好 無 乇 乞 伊 沃 濫 .,還好沒有東西被淋濕了.
"暝晡 雨 停 了 ,","晚上雨停了,"
白蟻 好 価 .,白蟻好多.
"爬 裏 爬 出 ,","爬進來爬出去,"
"會 踅 會 跳 ,","會轉會跳,"
"都 朝 燈光 走 過 來 ,","都朝燈光跑過來,"
野 怒 蜀 頭 .,好討厭的一頭.
