Mindong	Mandarin Trans.
天氣預報 指名 福州,	天氣預報 點名 說 福州
講 連 𡅏 幾 日 都是 高溫.	連日 高溫.
不過 早起頭 屈 陽臺 外首 讀書 故 也 有 好!	不過 早上 在 陽臺 讀書 感覺 還 好.
八 點 幾 布簾 蜀 拉,	八 點 多 布簾 一 拉,
日頭 就 曝 儥 着 了.	太陽 就 曬 不 到 了.
再 將 風扇 蜀 開,	風扇 一 開,
風蚊機 蜀 焯,	電蚊香 一 啟動,
就 可 泡 茶 做 事計.	就 可以 泡茶 做 事情.
風 吹 𡅏 野 快,	涼 風 習 習, 甚 是 輕松,
十 點 上 溫度 故 有 的 去.	十 點 多 溫度 還 能 受 得 了.
身 𡅏 㑚 會 𪏸,	身 上 要 是 出 汗 粘 著 了,
使 水 挸 囇 就 涼 下 了.	用 水 擦擦 就 涼 下來.
日中 實在 恰熱,	中午 實在 太熱,
轉 空調 裏勢 㑚 仂𣆯 再 出 去,	進到 空調房 裏 一小會兒 再 去 陽臺,
就 見覺 野 焅,	就 覺得 悶熱,
儥 受 啦!	難 耐 啊!
早起頭 十 點 以前,	早上 十 點 之前,
中波<y=dyng55-po55> 短波<y=deoy21-po55> 廣播 裏勢 盡去 鬧熱!	中波 短波 可 熱鬧 了!
敆 陽臺 故 會 聽 收音機,	陽臺 上 還 能 開 臺 收音機,
收 着 野 遠 地方 其 電臺,	遠程電臺
節目 帶 着 炸拉炸拉 其 聲音,	配 上 白噪音,
見覺 野 有 特色.	真是 悅耳.
