Mindong	Mandarin Trans.	Source	Note
筅堂		林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02.	民俗, 农历十二月, 家家户户打扫卫生迎新年叫筅堂
年暝兜	年前	林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02.	
澈洁	清洁干净	林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02.	
位处	位置	林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02.	
塕尘	灰尘	林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02.	
无块死乇	不用的杂物	林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02.	
粪倒	垃圾	林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02.	
壁枋	木头房子里面的墙壁	林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02.	
坎门<typofix=槛门>	窗户	林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02.	
澈澈洁	干干净净	林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02.	
暝晦	倒霉	林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02.	
倩	雇人代替自己做	林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02.	
灶前帐	厨房用具统称	林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02.	
睏	睡	林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02.	
暝晦	倒霉	林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02.	
行裏	走入	林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02.	
稠稠	常常	林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02.	
逿雨	下雨	林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02.	
旧底	过去	林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02.	
乍	刚才	林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02.	
缚	绑	林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02.	
对手	帮忙	林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02.	
