Mindong,Mandarin Trans.,Source
"蜀 年 遘 尾 洗洗荡荡 ,","一年到头洗洗荡荡,","林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02."
年暝兜 复 着 大 筅堂 .,年前又要大筅堂.,"林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02."
"每 蜀 年 祭灶 以后 ,","每一年祭灶之后,","林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02."
"家家主主 都 开始 大 扫除 ,","家家户户都开始大扫除,","林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02."
准备 做年 啰 .,准备过年了.,"林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02."
风俗 悬顶 就 叫 着 筅堂 .,风俗上叫作筅堂.,"林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02."
"按 旧例 ,","按旧例,","林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02."
"筅堂 着 择 日子 ,","筅堂要择吉日,","林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02."
方 可 筅堂 .,方可筅堂.,"林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02."
"旧底 ,","旧时,","林聪生策展. 1.筅堂洗厝好过年[EB/OL]. https://www.fjlib.net/fw/dzhd/mtzl/wszt/fzctcjnswhz/202212/t20221219_471338.htm, 2022-12-20/2023-12-02."
