Mindong,Mandarin Trans.
"天氣預報 指名 福州 ,","天氣預報點名說福州,"
講 連 𡅏 幾 日 都是 高溫 .,連日高溫.
不過 早起頭 屈 陽臺 外首 讀書 故 也 有 好 !,不過早上在陽臺讀書感覺還好.
"八 點 幾 布簾 蜀 拉 ,","八點多布簾一拉,"
日頭 就 曝 儥 着 了 .,太陽就曬不到了.
"再 將 風扇 蜀 開 ,","風扇一開,"
"風蚊機 蜀 焯 ,","電蚊香一啟動,"
就 可 泡 茶 做 事計 .,就可以泡茶做事情.
"風 吹 𡅏 野 快 ,","涼風習習, 甚是輕松,"
十 點 上 溫度 故 有 的 去 .,十點多溫度還能受得了.
"身 𡅏 㑚 會 𪏸 ,","身上要是出汗粘著了,"
使 水 挸 囇 就 涼 下 了 .,用水擦擦就涼下來.
"日中 實在 恰熱 ,","中午實在太熱,"
"轉 空調 裏勢 㑚 仂𣆯 再 出 去 ,","進到空調房裏一小會兒再去陽臺,"
"就 見覺 野 焅 ,","就覺得悶熱,"
儥 受 啦 !,難耐啊!
"早起頭 十 點 以前 ,","早上十點之前,"
中波<y=dyng55-po55> 短波<y=deoy21-po55> 廣播 裏勢 盡去 鬧熱 !,中波短波可熱鬧了!
"敆 陽臺 故 會 聽 收音機 ,","陽臺上還能開臺收音機,"
"收 着 野 遠 地方 其 電臺 ,","遠程電臺,"
"節目 帶 着 炸拉炸拉 其 聲音 ,","配上白噪音,"
見覺 野 有 特色 .,真是悅耳.
