Han Character,Mandarin Trans.
這時間已是暝晡,這城市漸入夜色
當愛情吹過,當愛情經過
"幸福其花開幾{蒲,柎}",幸福的能有幾個
我不再去羡慕,沒有人再愛我
我伓想去轉厝,沒有人再等我
"我{只,衹}想七處亂{搓,俥}",我想我不會寂寞
"{這,者}地方我屈{𣍐,儥}落",這城市人太冷漠
恰脆弱結果,太脆弱結果
"孤單{啊,吓}著心中勃",孤單的只剩下我
蜀個儂打單馬墿,一個人走了太多
"目滓{啊,吓}無停流落",眼淚也不停轉著
無儂會行過來問好,誰把愛攢下來給我
我其心眩倒,我的心好冷
阿汝無塊討,等著你來疼
"現在汝覭底{呢,所}躲",而你現在還不懂
風吹過雨逿落,冷冷的夜雨中
希望汝來褒,好想你來擁
但是汝始終是話無幾句,一切只換來你一句保重
我其心眩倒,我的心好冷
阿汝無塊討,等著你來疼
怨我自家也無歩,恨我自己沒有用
有無儂像我喏,有沒有人像我
傷心想倒墓,傷的那麼多
心像破布無塊去補,心如刀割沒人能說
"牧{𣍐,儥}好",我的痛
"{這,者}城市燈紅酒綠",這城市霓虹交錯
"儂{真,盡}{侈,価}行過",誰擦身而過
"下蜀站會遘底{呢,所}",下一站開向哪呢
伓想問伓想措,不再問為什麼
"耳機裡放{禮,𡅏}歌",傷心歌還在播
安慰我心中難過,我想我難逃寂寞
