Han Character,Mandarin Trans.
"䀫上我目睭, 心中就無雜音","閉起雙眼睛, 心中感覺清靜"
"但擘開眼睛, 我會驚前景","再張開眼睛, 怕觀望前程"
"風冷看更清, 只蜀片大樹林","夜冷風更清, 這一片荒野地"
"墿囝{真門,這滿}{侈,価},
  我方向分{𣍐,儥}清","沿途是岐路, 我方向未能明"
"{啊,吓}, 今晡無月","啊, 不見朗月"
"共我比墿{儷,㑚}有星",導我迷途只有星
"{啊,吓}, 墿{真,盡}窄","啊, 荒野路"
陪我齊行藍尾星,伴我獨行是流螢
孤單蜀人,縱步獨行
"墿中{真,盡}靜, 會聽見蟲聲音","沿途寂靜, 似只有呼吸聲"
"慢慢行前, 我卜爬懸懸山頂","緩步前往, 決意走崎嶇山徑"
"伐過溪水, 環境馬上更新","踏過荊棘, 苦中找到安靜"
"爬上山坡, 我大汗都淋淋","踏過荒郊, 我雙腳是泥濘"
"滿天星星, 我伓驚有菅{蓁,菁}","滿天星光, 我不怕風正勁"
"我心會肯定, 過山頂日頭昇","滿心是期望, 過黑暗是黎明"
"{啊,吓}, 星星燦爛","啊, 星也燦爛"
陪我齊行像電影,伴我夜行給我影
"{啊,吓}, 星星帶墿","啊, 星光引路"
"風講話也{真,盡}親",風之語輕輕聽
我盡認真,帶著熱情
"卜想討美景, 美景敆野深","我要找理想, 理想是和平"
"夢想完成, 汝著有滿腔熱情","尋夢而去, 那怕走崎嶇險徑"
"下日我再行, 固有滿天星","明日誰步過, 這星也帶領"
