Mindong	Mandarin Trans.	English Trans.	Property	Provider	Year	Month	Day	HH:MM:SS (UTC+8)	ISO 639-6	Speaker ID	Source	Copyright	Tag	Note
我 現在 開始 有 仂囝 摸魚摸蝦 .	"我現在開始有一點茫然."		written	刑部Dana	2020	5	19	16:24:17	fzho	25				
我 等 汝 爬 起 去 汝 講 .	"我等你起牀, 那時候你再回覆."		written	刑部Dana	2020	5	19	16:25:12	fzho	25				
我 也 儥仈 傒勢 , 就是 我 儥 鍾意<typofix=中意> 使 反察<typofix=反查><lan=cmn> .			written	刑部Dana	2020	5	19	16:32:13	fzho	25				
雖然 我 使 嚽<m=這個> 無 許般<y=hi21-wuang55> 習慣 .			written	刑部Dana	2020	5	19	16:33:20	fzho	25				
但是 我 使 反察<typofix=反查><lan=cmn> 其 時候 就是 有 仂囝 排斥<lan=cmn> .			written	刑部Dana	2020	5	19	16:34:27	fzho	25				
我 就 敆 𡅏 跇了<typofix=直頭><y=ti53-lau33> 拍 , 實在 是拍 儥 出 乍 使 反察<typofix=反查><lan=cmn> .			written	刑部Dana	2020	5	19	16:35:16	fzho	25				
仱 嚽 𡅏 使 嚽 其 時間 野 𣆯 …			written	刑部Dana	2020	5	19	16:36:08	fzho	25				
故 有 嚽 𡅏 我 也 儥 仈 我 使 其 字 是偍<typofix=是伓是><y=sie53-nei242> 對<lan=cmn> 其 故 是 賺 其 , 反正 我 都 儥仈… 都是 敆 𡅏 摸魚摸蝦 hhh<typofix=哈哈哈> .			written	刑部Dana	2020	5	19	16:38:54	fzho	25				
盡 像 蜀 隻 蜀 兩 歲 其 伲囝哥 敆 𡅏 學 蔣 講 話 .			written	刑部Dana	2020	5	19	16:40:59	fzho	25				
我 自家 拍 其 字 我 會仈 是 世乇<y=sieng53-noh24> 意思 , 但是 看 別人<typofix=別儂> 我 就 野 吃力<typofix=卸力><y=sia55-lik5> 了 .			written	刑部Dana	2020	5	19	16:43:37	fzho	25				
先 伓 共 汝 講 了 , 我 跟 汝 講 這般 価 了 , 我 野 辛苦……			written	刑部Dana	2020	5	19	16:46:47	fzho	25				
費 頭腦 , 野 蒻<y=yok24> .			written	刑部Dana	2020	5	19	16:47:53	fzho	25				
