Mindong	Mandarin Trans.	English Trans.	Speaker ID	ISO 639-6	Provider	Year	Month	Date	HH:MM:SS (UTC+8)	Source	Copyright	Tag	Note	Property	Path to Original File
講(說)<G=gōng> 其(的)<G=gì> 都是<G=dŭ-sê> 賺(錯)<G=dâng>, 無(沒有)<G=mò̤> 先生<G=sĕng-săng> 把關<G=bā-guăng>.	說 的 都是 錯 的, 沒有 老師 把關.	Everything said is wrong; there's no teacher to supervise.	3	mnhu	关彳山	2019	10	25						spoken	
伊<G=ĭ> 敆(在)<G=găk> 裏勢(裏面)<G=diē-sié>, 錄音間<G=liŏh-ĭng-găng>, 我<G=nguāi> 敆(在)<G=găk> 外斗(外頭)<G=ngiê-dāu> 把關<G=bā-guăng>.	他 在 裏面, 錄音間, 我 在 外頭 把關.	She's inside, in the recording studio; I'm outside supervising.	3	mnhu	关彳山	2019	10	25						spoken	
盡(很)<G=cêng> 無(沒)<G=mò̤> 面子<G=méng-cṳ̆>.	很 沒 面子.	It's quite embarrassing.	3	mnhu	关彳山	2019	10	25						spoken	
東家(主人)<G=dŭng-gă> 野(真)<G=iā> 闊氣<G=kuák-ké>.	主人 真 闊氣.	The host is really generous.	3	mnhu	关彳山	2019	10	25						spoken	
這<G=cī> 落(間)<G=lŏ̤h> 厝(房子)<G=chió> 野(很)<G=iā> 舊<G=gô>.	這 間 房子 很 舊.	This house is very old.	3	mnhu	关彳山	2019	11	16						spoken	
由(從)<G=iù> 衣裳(衣服)<G=ĭ-siòng> 其(的)<G=gì> 袋袋(口袋)<G=dô̤i-dô̤i> 裏勢(裏面)<G=diē-sié> 掏(拿)<G=dò̤> 出<G=chók> 三<G=săng> 楞(塊)<G=léng> 其(的)<G=gì> 光番(銀圓)<G=guŏng-huăng>.	從 衣服 的 口袋 裏面 拿 出 三 塊 銀圓.	He took out three silver coins from the pocket of his clothes.	3	mnhu	关彳山	2019	11	16						spoken	
汝(你)<G=nṳ̄> 有<G=ô> 掏(拿)<G=dò̤> 賺(錯)<G=dâng> 無(沒有)<G=mò̤>.	你 拿 錯 了 吧.	You must have taken the wrong one.	3	mnhu	关彳山	2019	11	16						spoken	
多<G=dŏ̤> 掏(拿)<G=dò̤> 乞(給)<G=ké̤ṳk> 汝(你)<G=nṳ̄> 錢<G=cièng>.	多 給 你 錢.	You have been given extra money.	3	mnhu	关彳山	2019	11	16						spoken	
汝(你)<G=nṳ̄> 就<G=cêu> 收<G=siŭ> 下<G=giâ> 吧<G=bá>.	你 就 收 下 吧.	Just accept it.	3	mnhu	关彳山	2019	11	16						spoken	
碰<G=pâung> 着(到)<G=diŏh> 好儂(好人)<G=hō̤-nè̤ng> 去(了)<G=kó̤>.	碰 到 好人 了.	Met a good person!	3	mnhu	关彳山	2019	11	16						spoken	
無(不)<G=mò̤> 盡(太)<G=cêng> 在意<G=câi-é>.	不 太 在意.	Don't really care.	3	mnhu	关彳山	2019	11	16						spoken	
蜀(一)<G=siŏh> 儂(人)<G=nè̤ng> 分<G=buŏng> 半<G=buáng> 段(個)<G=dâung>, 扛<G=gŏng> 轉(回)<G=diōng> 厝(家)<G=chió> 討(找)<G=tō̤> 外媽(外婆)<G=ngiê-mā> 齊(一起)<G=cà̤> 食(喫)<G=siăh>.	一 人 分 半 個, 扛 回 家 找 外婆 一起 喫.			mnhu	像子影@Weibo	2019	5	28		維基教科書编者. 福州語/常用短語表[G/OL]. 中文維基教科書, 2019-05-28[2019-05-28]. https://zh.wikibooks.org/w/index.php?title=福州語/常用短语表%26direction=next%26oldid=122355.	CC BY-SA 3.0	戲謔		spoken	
使(要)<G=sāi> 汝(你)<G=nṳ̄> 講(說)<G=gōng>?	要 你 說?		11	fzho	关彳山	2017								spoken	
在(隨便)[zai53] 汝(你)[ny33] 蔣(怎麼)[zuong242] 講(說)[goung33].	隨便 你 怎麼 說.		11	fzho	关彳山	2020	4	11						spoken	
像(比方)[cuong242]<G=chiông> 講(說)[goung33]<G=gōng>.	比方 說.		3	mnhu	关彳山									spoken	
本次<G=buōng-ché̤ṳ> 列車<G=liĕk-chiă> 終點站<G=cṳ̆ng-diēng-câng>, 福州火車南站<G=hók-cĭu-huōi-chiă-nàng-câng>. 下<G=â> 蜀(一)<G=siŏh> 站<G=câng> 黃山<G=uòng-săng>.	本次 列車 終點站, 福州火車南站. 下 一 站 黃山.		31	fzho	关彳山	2016				维基百科编者. 福州地铁[G/OL]. 中文维基百科, 2016-06-20[2020-04-15]. https://zh.wikipedia.org/w/index.php?title=%E7%A6%8F%E5%B7%9E%E5%9C%B0%E9%93%81%26oldid=40525393.	CC BY-SA 3.0	交通		formal	plaintext\sentences\下一站黃山.tsv
黃山<G=uòng-săng> 遘(到)<G=gáu> 了<G=lāu>, 請<G=chiāng> 趁(從)<G=téng> 左邊(左側)<G=cō̤-bĕng> 車門<G=chiă-muòng> 落車(下車)<G=lŏ̤h-chiă>.	黃山 到 了, 請 從 左側 車門 下車.		31	fzho	关彳山	2016				维基百科编者. 福州地铁[G/OL]. 中文维基百科, 2016-06-20[2020-04-15]. https://zh.wikipedia.org/w/index.php?title=%E7%A6%8F%E5%B7%9E%E5%9C%B0%E9%93%81%26oldid=40525393.	CC BY-SA 3.0	交通		formal	plaintext\sentences\下一站黃山.tsv
躒(逛蕩)[loouk24]<G=láuk> 下(下去)[gia242]<G=giâ>.	逛 下去.		30	fzho	关彳山	2020	4	12				一般動作		spoken	
注意[zy53-ei213]<G=cê̤ṳ-é> 列車[liek5-chia55]<G=liĕk-chiă> 共(和)[geoyng242]<G=gâe̤ng> 站臺[zang33-dai53]<G=câng-dài> 之間[zi55-gang55]<G=cĭ-găng> 其(的)[i53]<G=gì> 空(空隙)[keoyng55]<G=kĕ̤ng>.	注意 列車 和 站臺 之間 的 空隙.		23	fzho	关彳山	2017						交通		translated	
喙碼(嘴巴) 盡(很) 甜.	嘴 很 甜.		32	mqig	晉安梅客@Weibo	2020	4	16						spoken	
乍[zia213](纔) 工作[geoyng53-nauk24] 無[mo53](沒) 偌[nuoh24](多) 𣆯[oung53](久).			3	mnhu	关彳山	2020	4	17						spoken	
我[nguai33] 無[mo55] 行[ngiang53].	我 無 去 過.		3	mnhu	关彳山	2020	6	5						spoken	
