Document ID	Conversation ID	Provider	Mindong	Mandarin Trans.	Speaker ID	ISO 639-6	Year	YYYY-MM-DD	HH:MM:SS (UTC+8)	Source & Copyright	Copyright	Tag	Note	Property
		关彳山	汝(你)<G=nṳ̄> 有<G=ô> 掏(拿)<G=dò̤> 賺(錯)<G=dâng> 無(沒有)<G=mò̤>.	你 拿 錯 了 吧.	3	mnhu		2019-11-16						spoken
		关彳山	多<G=dŏ̤> 掏(拿)<G=dò̤> 乞(給)<G=ké̤ṳk> 汝(你)<G=nṳ̄> 錢<G=cièng>.	多 給 你 了 錢.	3	mnhu		2019-11-16						spoken
		关彳山	本次<G=buōng-ché̤ṳ> 列車<G=liĕk-chiă> 終點站<G=cṳ̆ng-diēng-câng>, 福州火車南站<G=hók-cĭu-huōi-chiă-nàng-câng>. 下<G=â> 蜀(一)<G=siŏh> 站<G=câng> 黃山<G=uòng-săng>.		31	fzho	2016			维基百科编者. 福州地铁[G/OL]. 中文维基百科, 2016-06-20[2020-04-15]. https://zh.wikipedia.org/w/index.php?title=%E7%A6%8F%E5%B7%9E%E5%9C%B0%E9%93%81&oldid=40525393.	CC BY-SA 3.0	交通		attention
		关彳山	黃山<G=uòng-săng> 遘(到)<G=gáu> 了<G=lāu>, 請<G=chiāng> 趁(從)<G=téng> 左邊(左側)<G=cō̤-bĕng> 車門<G=chiă-muòng> 落車(下車)<G=lŏ̤h-chiă>.		31	fzho	2016			维基百科编者. 福州地铁[G/OL]. 中文维基百科, 2016-06-20[2020-04-15]. https://zh.wikipedia.org/w/index.php?title=%E7%A6%8F%E5%B7%9E%E5%9C%B0%E9%93%81&oldid=40525393.	CC BY-SA 3.0	交通		attention
		关彳山	注意[zy53-ei213]<G=cê̤ṳ-é> 列車[liek5-chia55]<G=liĕk-chiă> 共(和)[geoyng242]<G=gâe̤ng> 站臺[zang33-dai53]<G=câng-dài> 之[zi55]<G=cĭ> 間[gang55]<G=găng> 其(的)[i53]<G=gì> 空(空隙)[keoyng55]<G=kĕ̤ng>.		23	fzho	2017					交通		kunnyomi
		关彳山	我[nguai33] 無[mo55] 行[ngiang53].	我 無 去 過.	3	mnhu		2020-06-05						spoken
		关彳山	𧧏[eo53]. 拍[pah53] 死[si33].	哎. 再 鬧 小心 打 死.	34	fzho		2020-05-03					喝止驚犬	spoken
		关彳山	半[buang53] 桶[teoyng33] 水[zui33].	半 桶 的 水.	15	mnhu		2020-06-20						spoken
		五毛@QQ	姨 生 其 卵.	姨 家 雞 生 的 蛋.		fuqi		2020-06-28						spoken
		李浩博	晡時雨, 逿 冰雹. 噼{里,哩}啪啷 盡去 响, 做 细 遘 大 頭回 見.	傍晚 強對流天氣, 下 起 了 冰雹. 劈里啪啦 真是 響, 從 小 到 大 未曾 見.	36			2020-03-27						written
	4	李浩博	這[zi21] 兩[lang55] 工[eoyng55] 降溫 野 利害 {啊,吓}, 做 蜀下 就 趁 三十 度 逿 遘 十 幾 度 了 去.	這 兩 天 降溫 真 厲害, 一下子 就 從 三十 多 度 掉 到 十 幾 度 了.	36			2020-04-24						written
	4	李浩博	伓是 故 儥 捨. 都 講, 清明 穀雨, 寒 死 老鼠, 今年暝 雖然 講 天氣 反常 熱, 者 寒 遲 囉, 但是 到底 也 遘 囉{啊,吓}.	那 可 不是. 俗話 說, 清明 穀雨, 寒 死 老鼠, 今年 雖然 說 天氣 反常{的,地} 熱, 但是 冷空氣 到底 雖 遲 但 到 啊.	36			2020-04-24						written
		李浩博	{將,蔣} 想 遘 我 會 使 投影 其 方法 {共,乞} 阿公 阿媽 敆 B站 懸頂 看 閩劇.	我 居然 用 投屏 的 辦法 讓 阿公 阿媽 在 B站 上 欣賞 閩劇 了.	36			2020-05-30						written
		李浩博	因爲 季風 大 做, {直頭,跇了} 逿 雨, 今年暝 小滿 其 天氣 儥 熱. 夏天 乍 遘, 者 阿蠐 故 未 叫, 荔枝 已經 紅 了.	因為 季風 盛行, 降水 頻繁, 今年 的 小滿 不 算 熱. 夏天 剛 到, 還 沒 聽見 蟬 鳴, 荔枝 已經 熟 得 發 紅 了.	36			2020-06-30						written
		李浩博	雨 摒 有夠 透, 熱天 會 歇 蜀 歇 了. 暝晡 儥 算 長, 起 風 總算 會 涼 了.	久 暑 逢 時雨, 短 夜 遇 涼 風.	36			2020-07-19						written
		林文芳	小明 會 聰明 儥.	小明 聰明 嗎.		fuqi				范晓蕾. 基于汉语方言的惯常范畴研究[J/OL]. 当代语言学, 2017, 19(4): 573. https://fh.pku.edu.cn/docs/2019-04/20190410152556167231.pdf.				spoken
	12	林文芳	汝(你) 看 我 面(臉) □□(現在)[zung33-mang33] 有 無 紅.	你 看 我 臉 現在 是 不是 紅 的.		fuqi				范晓蕾. 基于汉语方言的惯常范畴研究[J/OL]. 当代语言学, 2017, 19(4): 575. https://fh.pku.edu.cn/docs/2019-04/20190410152556167231.pdf.				spoken
	12	林文芳	有 紅.	是 紅 的.		fuqi				范晓蕾. 基于汉语方言的惯常范畴研究[J/OL]. 当代语言学, 2017, 19(4): 575. https://fh.pku.edu.cn/docs/2019-04/20190410152556167231.pdf.				spoken
		子善	寝寝(剛剛好) 犁(貼) 三中 裡(進) 去.	壓 線 考 進 三中.		mnhu		2020-08-19						spoken
15		关彳山			3	mnhu								
16		关彳山			3	mnhu								
17		关彳山			3	mnhu								
18		关彳山			3	mnhu								
19		关彳山			3	mnhu								
20		关彳山			3	mnhu								
21		关彳山			3	mnhu								
22		关彳山			3	mnhu								
23		关彳山			3	mnhu								
